IdEvolution,Url_ImgEvolution,IdDex,NameEvo,Url_Type1,Url_Type2
0002-A,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,2,Ivysaur,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/a7/latest/20221208180710/Tipo_planta_EP.png/160px-Tipo_planta_EP.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/11/latest/20221208180751/Tipo_veneno_EP.png/160px-Tipo_veneno_EP.png
0003-A,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,3,Venusaur,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/a7/latest/20221208180710/Tipo_planta_EP.png/160px-Tipo_planta_EP.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/11/latest/20221208180751/Tipo_veneno_EP.png/160px-Tipo_veneno_EP.png
0003-AM,https://raw.githubusercontent.com/Gbarrantes25/Pokedex-PowerBI/refs/heads/main/Mega-Evolution/Mega-Venusaur.png,3,Mega-Venusaur,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/a7/latest/20221208180710/Tipo_planta_EP.png/160px-Tipo_planta_EP.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/11/latest/20221208180751/Tipo_veneno_EP.png/160px-Tipo_veneno_EP.png
0005-A,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,5,Charmeleon,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/c0/latest/20221208180625/Tipo_fuego_EP.png/160px-Tipo_fuego_EP.png,
0006-A,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,6,Charizard,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/c0/latest/20221208180625/Tipo_fuego_EP.png/160px-Tipo_fuego_EP.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/9a/latest/20221208180800/Tipo_volador_EP.png/160px-Tipo_volador_EP.png
0006-AMX,https://raw.githubusercontent.com/Gbarrantes25/Pokedex-PowerBI/refs/heads/main/Mega-Evolution/Mega-Charizard_X.png,6,Mega-Charizard X,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/c0/latest/20221208180625/Tipo_fuego_EP.png/160px-Tipo_fuego_EP.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/b8/latest/20221208180443/Tipo_drag%C3%B3n_EP.png/160px-Tipo_drag%C3%B3n_EP.png
0006-AMY,https://raw.githubusercontent.com/Gbarrantes25/Pokedex-PowerBI/refs/heads/main/Mega-Evolution/Mega-Charizard_Y.png,6,Mega-Charizard Y,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/c0/latest/20221208180625/Tipo_fuego_EP.png/160px-Tipo_fuego_EP.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/9a/latest/20221208180800/Tipo_volador_EP.png/160px-Tipo_volador_EP.png
0008-A,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png,8,Wartortle,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/59/latest/20221208180426/Tipo_agua_EP.png/160px-Tipo_agua_EP.png,
0009-A,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,9,Blastoise,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/59/latest/20221208180426/Tipo_agua_EP.png/160px-Tipo_agua_EP.png,
0009-AM,https://raw.githubusercontent.com/Gbarrantes25/Pokedex-PowerBI/refs/heads/main/Mega-Evolution/Mega-Blastoise.png,9,Mega-Blastoise,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/59/latest/20221208180426/Tipo_agua_EP.png/160px-Tipo_agua_EP.png,
0011-A,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png,11,Metapod,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/5d/latest/20221208180434/Tipo_bicho_EP.png/160px-Tipo_bicho_EP.png,
0012-A,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png,12,Butterfree,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/5d/latest/20221208180434/Tipo_bicho_EP.png/160px-Tipo_bicho_EP.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/9a/latest/20221208180800/Tipo_volador_EP.png/160px-Tipo_volador_EP.png
