IdForm,FormPokemon,Url_ImgPokemonForm,Description,Size (cm),Weight (kg),Ability
0001-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,Una rara semilla le fue plantada en el lomo al nacer. La planta brota y crece con este Pokémon.,70,6.9,"Espesura, Clorofila"
0002-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,"Este Pokémon tiene un bulbo en el lomo. Dicen que, al absorber nutrientes, el bulbo se transforma en una flor grande.",100,13,"Espesura, Clorofila"
0003-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,Llena su cuerpo de energía con los rayos solares que captan los anchos pétalos de su flor.,200,100,"Espesura, Clorofila"
0003-AM,AM - Mega,https://raw.githubusercontent.com/Gbarrantes25/Pokedex-PowerBI/refs/heads/main/Mega-Evolution/Mega-Venusaur.png,Llena su cuerpo de energía con los rayos solares que captan los anchos pétalos de su flor.,240,155.5,Sebo
0004-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,La llama de su cola indica la fuerza vital de Charmander. Será brillante si está sano.,60,8.5,"Mar Llamas, Poder Solar"
0005-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,"Suele usar la cola para derribar a su rival. Cuando lo tira, se vale de sus afiladas garras para acabar con él.",110,19,"Mar Llamas, Poder Solar"
0006-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,"Cuando lanza una descarga de fuego supercaliente, la roja llama de su cola brilla más intensamente.",170,90.5,"Mar Llamas, Poder Solar"
0006-AMX,AMX - Mega X,https://raw.githubusercontent.com/Gbarrantes25/Pokedex-PowerBI/refs/heads/main/Mega-Evolution/Mega-Charizard_X.png,La extraordinaria energía que fluye por su cuerpo le ha ennegrecido la piel y provocado la aparición de intensas llamas azules.,170,110.5,Garra dura
0006-AMY,AMY - Mega Y,https://raw.githubusercontent.com/Gbarrantes25/Pokedex-PowerBI/refs/heads/main/Mega-Evolution/Mega-Charizard_Y.png,El vínculo que lo une a su Entrenador es la fuente de su poder. Su capacidad de vuelo supera la de un avión a reacción.,170,110.5,Sequía
0007-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png,Se protege con su caparazón y luego contraataca lanzando agua a presión cuando tiene oportunidad.,50,9,"Torrente, Cura Lluvia"
0008-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png,"Si es golpeado, esconderá su cabeza. Aun así, su cola puede seguir golpeando.",100,22.5,"Torrente, Cura Lluvia"
0009-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,"Para acabar con su enemigo, lo aplasta con el peso de su cuerpo. En momentos de apuro, se esconde en el caparazón.",160,85.5,"Torrente, Cura Lluvia"
0009-AM,AM - Mega,https://raw.githubusercontent.com/Gbarrantes25/Pokedex-PowerBI/refs/heads/main/Mega-Evolution/Mega-Blastoise.png,"Para acabar con su enemigo, lo aplasta con el peso de su cuerpo. En momentos de apuro, se esconde en el caparazón.",160,101.5,Megadisparador
0010-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png,"Para protegerse despide un hedor horrible de sus antenas, con el que repele a sus enemigos.",30,2.9,"Polvo Escudo, Fuga"
0011-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png,Su frágil cuerpo está recubierto de una coraza dura como el acero. Permanece quieto en su desarrollo.,70,9.9,Mudar
0012-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png,Adora el néctar de las flores. Puede localizar hasta las más pequeñas cantidades de polen.,110,32,"Ojo Compuesto, Cromolente"
0013-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png,Suele habitar bosques y praderas. Tiene un afilado y venenoso aguijón de unos 5 cm encima de la cabeza.,30,3.2,"Polvo Escudo, Fuga"
0014-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png,"Casi incapaz de moverse, este Pokémon solo puede endurecer su caparazón para protegerse.",60,10,Mudar
0015-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png,Tiene 3 aguijones venenosos en sus patas y cola. Suelen pinchar a sus enemigos repetidas veces.,100,29.5,"Enjambre, Francotirador"
0015-AM,AM - Mega,https://raw.githubusercontent.com/Gbarrantes25/Pokedex-PowerBI/refs/heads/main/Mega-Evolution/Mega-Beedrill.png,"Al megaevolucionar, también le salen aguijones venenosos en las patas posteriores. Tras hincar los de las patas, remata con el del abdomen.",100,40.5,Adaptable
0016-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png,Muy común en bosques y selvas. Aletea al nivel del suelo para levantar la gravilla.,30,1.8,"Vista Lince, Tumbos, Sacapecho"
0017-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png,Tiene unas garras desarrolladas. Puede atrapar un Exeggcute y transportarlo desde una distancia de casi 100 km.,110,30,"Vista Lince, Tumbos, Sacapecho"
0018-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png,"Cuando caza, vuela muy deprisa a ras del agua y sorprende a inocentes presas como Magikarp.",150,39.5,"Vista Lince, Tumbos, Sacapecho"
0018-AM,AM - Mega,https://raw.githubusercontent.com/Gbarrantes25/Pokedex-PowerBI/refs/heads/main/Mega-Evolution/Mega-Pidgeot.png,Su potencia muscular ha aumentado tanto que es capaz de mantener el vuelo sin descanso durante dos semanas.,150,39.5,Indefenso
0019-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png,"Vive allí donde haya comida disponible. Busca todo el día, sin descanso, algo comestible.",30,3.5,"Fuga, Agallas, Entusiasmo"
0019-B,B - Alola,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10091.png,"Vive allí donde haya comida disponible. Busca todo el día, sin descanso, algo comestible.",30,3.8,"Gula, Entusiasmo, Sebo"
0020-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png,Lima sus colmillos royendo objetos duros. Con ellos puede destruir incluso paredes de hormigón.,70,18.5,"Fuga, Agallas, Entusiasmo"
0020-B,B - Alola,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10092.png,Lima sus colmillos royendo objetos duros. Con ellos puede destruir incluso paredes de hormigón.,70,25.5,"Gula, Entusiasmo, Sebo"
0021-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png,"Muy protector de su territorio, mueve sus cortas alas sin descanso para lanzarse a toda velocidad.",30,2,"Vista Lince, Francotirador"
0022-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png,"Con sus enormes y magníficas alas, puede seguir volando sin tener que aterrizar para descansar.",120,38,"Vista Lince, Francotirador"
0023-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png,"Cuanto más viejo, más crece este Pokémon. Por la noche, descansa en las ramas de los árboles.",200,6.9,"Intimidación, Mudar, Nerviosismo"
0024-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png,El dibujo que tiene en la panza aterroriza. Los rivales más débiles salen huyendo al verlo.,350,65,"Intimidación, Mudar, Nerviosismo"
0025-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png,"Levanta su cola para vigilar los alrededores. A veces, puede ser alcanzado por un rayo en esa pose.",40,6,"Elec. Estática, Pararrayos"
0026-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png,"Cuando se carga de electricidad, sus músculos se tensan y se vuelve más agresivo de lo normal.",80,30,"Elec. Estática, Pararrayos"
0026-AMX,AMX - Mega X,https://raw.githubusercontent.com/Gbarrantes25/Pokedex-PowerBI/refs/heads/main/Mega-Evolution/Mega-Raichu_X.png,"Cuando se carga de electricidad, sus músculos se tensan y se vuelve más agresivo de lo normal.",120,38,"Elec. Estática, Pararrayos"
