IdForma,Descripción,Tamaño (CM),Peso (KG)
1 - A,Una rara semilla le fue plantada en el lomo al nacer. La planta brota y crece con este Pokémon.,70,6.9
2 - A,"Este Pokémon tiene un bulbo en el lomo. Dicen que, al absorber nutrientes, el bulbo se transforma en una flor grande.",100,13
3 - A,Llena su cuerpo de energía con los rayos solares que captan los anchos pétalos de su flor.,200,100
4 - A,La llama de su cola indica la fuerza vital de Charmander. Será brillante si está sano.,60,8.5
5 - A,"Suele usar la cola para derribar a su rival. Cuando lo tira, se vale de sus afiladas garras para acabar con él.",110,19
6 - A,"Cuando lanza una descarga de fuego supercaliente, la roja llama de su cola brilla más intensamente.",170,90.5
7 - A,Se protege con su caparazón y luego contraataca lanzando agua a presión cuando tiene oportunidad.,50,9
8 - A,"Si es golpeado, esconderá su cabeza. Aun así, su cola puede seguir golpeando.",100,22.5
9 - A,"Para acabar con su enemigo, lo aplasta con el peso de su cuerpo. En momentos de apuro, se esconde en el caparazón.",160,85.5
10 - A,"Para protegerse despide un hedor horrible de sus antenas, con el que repele a sus enemigos.",30,2.9
11 - A,Su frágil cuerpo está recubierto de una coraza dura como el acero. Permanece quieto en su desarrollo.,70,9.9
12 - A,Adora el néctar de las flores. Puede localizar hasta las más pequeñas cantidades de polen.,110,32
13 - A,Suele habitar bosques y praderas. Tiene un afilado y venenoso aguijón de unos 5 cm encima de la cabeza.,30,3.2
14 - A,"Casi incapaz de moverse, este Pokémon solo puede endurecer su caparazón para protegerse.",60,10
15 - A,Tiene 3 aguijones venenosos en sus patas y cola. Suelen pinchar a sus enemigos repetidas veces.,100,29.5
16 - A,Muy común en bosques y selvas. Aletea al nivel del suelo para levantar la gravilla.,30,1.8
17 - A,Tiene unas garras desarrolladas. Puede atrapar un Exeggcute y transportarlo desde una distancia de casi 100 km.,110,30
18 - A,"Cuando caza, vuela muy deprisa a ras del agua y sorprende a inocentes presas como Magikarp.",150,39.5
19 - A,"Vive allí donde haya comida disponible. Busca todo el día, sin descanso, algo comestible.",30,3.5
19 - B,"Vive allí donde haya comida disponible. Busca todo el día, sin descanso, algo comestible.",30,3.8
20 - A,Lima sus colmillos royendo objetos duros. Con ellos puede destruir incluso paredes de hormigón.,70,18.5
20 - B,Lima sus colmillos royendo objetos duros. Con ellos puede destruir incluso paredes de hormigón.,70,25.5
21 - A,"Muy protector de su territorio, mueve sus cortas alas sin descanso para lanzarse a toda velocidad.",30,2
22 - A,"Con sus enormes y magníficas alas, puede seguir volando sin tener que aterrizar para descansar.",120,38
23 - A,"Cuanto más viejo, más crece este Pokémon. Por la noche, descansa en las ramas de los árboles.",200,6.9
24 - A,El dibujo que tiene en la panza aterroriza. Los rivales más débiles salen huyendo al verlo.,350,65
25 - A,"Levanta su cola para vigilar los alrededores. A veces, puede ser alcanzado por un rayo en esa pose.",40,6
26 - A,"Cuando se carga de electricidad, sus músculos se tensan y se vuelve más agresivo de lo normal.",80,30
26 - B,"Cuando se carga de electricidad, sus músculos se tensan y se vuelve más agresivo de lo normal.",70,21
27 - A,"Este Pokémon permanece bajo tierra. Si se siente amenazado, se enrosca para defenderse.",60,12
27 - B,"Este Pokémon permanece bajo tierra. Si se siente amenazado, se enrosca para defenderse.",70,40
28 - A,"Si cava a gran velocidad, puede que se le caigan las garras y púas. Vuelven a crecerle en un día.",100,29.5
28 - B,"Si cava a gran velocidad, puede que se le caigan las garras y púas. Vuelven a crecerle en un día.",120,55
29 - A,"Aunque pequeñas, sus venenosas púas son muy peligrosas. Tienen un cuerno más pequeño que los machos.",40,7
30 - A,Tiene un carácter afable. Emite ondas ultrasónicas para confundir al enemigo.,80,20
31 - A,Usa su cuerpo duro y escamoso para sellar la entrada a su madriguera y protegerse de los depredadores.,130,60
32 - A,Saca las orejas por encima de la hierba para explorar el territorio. Le protege su cuerno venenoso.,50,9
33 - A,"Levanta sus grandes orejas para vigilar. Si detecta algo, atacará de inmediato.",90,19.5
34 - A,Es fácil reconocerlo por tener una dura piel y un gran cuerno lleno de peligrosísimo veneno.,140,62
35 - A,Se dice que la felicidad llegará a quien vea a un grupo de Clefairy bailando a la luz de la luna llena.,60,7.5
36 - A,Su oído es tan agudo que puede oír una aguja caer a 1 km. Vive en montañas solitarias.,130,40
37 - A,"Cuando nace solo tiene una cola, pero a medida que crece, esta se va dividiendo desde la punta.",60,9.9
37 - B,"Cuando nace solo tiene una cola, pero a medida que crece, esta se va dividiendo desde la punta.",60,9.9
38 - A,Tiene nueve colas y un pelaje de color dorado. Dicen que este Pokémon llega a vivir 1000 años.,110,19.9
38 - B,Tiene nueve colas y un pelaje de color dorado. Dicen que este Pokémon llega a vivir 1000 años.,110,19.9
39 - A,Cautiva con la mirada a su enemigo y hace que se quede profundamente dormido mientras entona una dulce melodía.,50,5.5
40 - A,"Su piel es tan suave que si dos de ellos se acurrucan juntos, no querrán separarse nunca.",100,12
41 - A,"Aunque carezca de ojos, puede detectar obstáculos con las ondas ultrasónicas que emite su boca.",80,7.5
42 - A,"Cuando ataque, seguirá chupando energía de su víctima, aunque pese tanto que ya no pueda volar.",160,55
43 - A,"Durante el día, se agazapa en el frío subsuelo huyendo del sol. La luz de la luna le hace crecer mucho.",50,5.4
44 - A,"¡Huele bastante mal! De todas formas, una de cada mil personas aprecian su fétido olor.",80,8.6
45 - A,"Cuanto mayores son sus pétalos, más tóxico es su polen. Le pesa la cabeza y le cuesta mantenerla erguida.",120,18.6
46 - A,"Lleva en el lomo dos setas parásitas llamadas tochukaso, que crecen con él.",30,5.4
47 - A,Parasect está dominado por una seta parásita mayor que él. Dispersa esporas venenosas.,100,29.5
48 - A,Sus grandes ojos son en realidad grupos de ojos diminutos. Por la noche se siente atraído por la luz.,100,30
49 - A,"Lanza unas escamas que paralizan a cualquiera. Quien las toque, no podrá ni ponerse de pie.",150,12.5
50 - A,"Vive un metro por debajo del suelo, donde se alimenta de raíces. También aparece en la superficie.",20,0.8
50 - B,"Vive un metro por debajo del suelo, donde se alimenta de raíces. También aparece en la superficie.",20,1
51 - A,"En combate, cava la tierra, se esconde y sale de repente para golpear a su rival. Nunca se sabe por dónde puede aparecer.",70,33.3
51 - B,"En combate, cava la tierra, se esconde y sale de repente para golpear a su rival. Nunca se sabe por dónde puede aparecer.",70,66.6
52 - A,Es de naturaleza nocturna. Le atraen los objetos brillantes.,40,4.2
52 - B,Es de naturaleza nocturna. Le atraen los objetos brillantes.,40,4.2
52 - C,Es de naturaleza nocturna. Le atraen los objetos brillantes.,40,7.5
53 - A,"Aunque es muy admirado por el pelo, es difícil de entrenar como mascota, porque es un poco travieso.",100,32
53 - B,"Aunque es muy admirado por el pelo, es difícil de entrenar como mascota, porque es un poco travieso.",110,33
54 - A,"Padece continuamente dolores de cabeza. Cuando son muy fuertes, empieza a usar misteriosos poderes.",80,19.6
55 - A,Aparece en ríos al anochecer. Puede usar poderes telequinéticos si su frente brilla misteriosamente.,170,76.6
56 - A,"Es peligroso acercarse si se enfada sin razón aparente, ya que no distingue entre amigos y enemigos.",50,28
57 - A,Solo se calma cuando nadie está cerca. Llegar a ver ese momento es realmente difícil.,100,32
58 - A,"Es muy agradable y leal. Para ahuyentar al enemigo, se pone a ladrar y a dar bocados.",70,19
58 - B,"Es muy agradable y leal. Para ahuyentar al enemigo, se pone a ladrar y a dar bocados.",80,22.7
59 - A,Un Pokémon muy admirado desde la antigüedad por su belleza. Corre ágilmente como si tuviera alas.,190,155
59 - B,Un Pokémon muy admirado desde la antigüedad por su belleza. Corre ágilmente como si tuviera alas.,200,168
60 - A,"Tiene una piel extraordinaria, fina y húmeda, que deja entrever las vísceras que tiene dispuestas en espiral.",60,12.4
61 - A,Capaz de vivir dentro o fuera del agua. Fuera del agua suda para mantener baboso su cuerpo.,100,20
62 - A,Tiene músculos muy desarrollados. Es capaz de nadar en el océano sin descanso.,130,54
63 - A,Duerme 18 horas al día y mientras lo hace es capaz de usar una serie de poderes extrasensoriales.,90,19.5
64 - A,"Cuando utiliza su poder psíquico, emite poderosas ondas alfa que pueden destruir dispositivos.",130,56.5
65 - A,"Sus neuronas se multiplican continuamente durante su vida. Por eso, siempre lo recuerda todo.",150,48
66 - A,Levanta un Graveler para mantener sus músculos en forma. Domina todas las artes marciales.,80,19.5
67 - A,Su musculoso cuerpo es tan fuerte que usa un cinto antifuerza para controlar sus movimientos.,150,70.5
68 - A,Tiene cuatro brazos tan bien desarrollados que puede dar una serie de 1000 puñetazos en cuestión de dos segundos.,160,130
69 - A,"Aunque su cuerpo es extremadamente delgado, es muy rápido a la hora de capturar sus presas.",70,4
