IdForma,Stats,Valor (base)
1 - A,Hp,45
1 - A,Atk,49
1 - A,Def,49
1 - A,Sp Atk,65
1 - A,Sp Def,65
1 - A,Spd,45
2 - A,Hp,60
2 - A,Atk,62
2 - A,Def,63
2 - A,Sp Atk,80
2 - A,Sp Def,80
2 - A,Spd,60
3 - A,Hp,80
3 - A,Atk,82
3 - A,Def,83
3 - A,Sp Atk,100
3 - A,Sp Def,100
3 - A,Spd,80
4 - A,Hp,39
4 - A,Atk,52
4 - A,Def,43
4 - A,Sp Atk,60
4 - A,Sp Def,50
4 - A,Spd,65
5 - A,Hp,58
5 - A,Atk,64
5 - A,Def,58
5 - A,Sp Atk,80
5 - A,Sp Def,65
5 - A,Spd,80
6 - A,Hp,78
6 - A,Atk,84
6 - A,Def,78
6 - A,Sp Atk,109
6 - A,Sp Def,85
6 - A,Spd,100
7 - A,Hp,44
7 - A,Atk,48
7 - A,Def,65
7 - A,Sp Atk,50
7 - A,Sp Def,64
7 - A,Spd,43
8 - A,Hp,59
8 - A,Atk,63
8 - A,Def,80
8 - A,Sp Atk,65
8 - A,Sp Def,80
8 - A,Spd,58
9 - A,Hp,79
9 - A,Atk,83
9 - A,Def,100
9 - A,Sp Atk,85
9 - A,Sp Def,105
9 - A,Spd,78
10 - A,Hp,45
10 - A,Atk,30
10 - A,Def,35
10 - A,Sp Atk,20
10 - A,Sp Def,20
10 - A,Spd,45
11 - A,Hp,50
11 - A,Atk,20
11 - A,Def,55
11 - A,Sp Atk,25
11 - A,Sp Def,25
11 - A,Spd,30
12 - A,Hp,60
12 - A,Atk,45
12 - A,Def,50
12 - A,Sp Atk,90
12 - A,Sp Def,80
12 - A,Spd,70
13 - A,Hp,40
13 - A,Atk,35
13 - A,Def,30
13 - A,Sp Atk,20
13 - A,Sp Def,20
13 - A,Spd,50
14 - A,Hp,45
14 - A,Atk,25
14 - A,Def,50
14 - A,Sp Atk,25
14 - A,Sp Def,25
14 - A,Spd,35
15 - A,Hp,65
15 - A,Atk,90
15 - A,Def,40
15 - A,Sp Atk,45
15 - A,Sp Def,80
15 - A,Spd,75
16 - A,Hp,40
16 - A,Atk,45
16 - A,Def,40
16 - A,Sp Atk,35
16 - A,Sp Def,35
16 - A,Spd,56
17 - A,Hp,63
17 - A,Atk,60
17 - A,Def,55
17 - A,Sp Atk,50
17 - A,Sp Def,50
17 - A,Spd,71
18 - A,Hp,83
18 - A,Atk,80
18 - A,Def,75
18 - A,Sp Atk,70
18 - A,Sp Def,70
18 - A,Spd,101
19 - A,Hp,30
19 - A,Atk,56
19 - A,Def,35
19 - A,Sp Atk,25
19 - A,Sp Def,35
19 - A,Spd,72
19 - B,Hp,30
19 - B,Atk,56
19 - B,Def,35
19 - B,Sp Atk,25
19 - B,Sp Def,35
19 - B,Spd,72
20 - A,Hp,55
20 - A,Atk,81
20 - A,Def,60
20 - A,Sp Atk,50
20 - A,Sp Def,70
20 - A,Spd,97
20 - B,Hp,75
20 - B,Atk,71
20 - B,Def,70
20 - B,Sp Atk,40
20 - B,Sp Def,80
20 - B,Spd,77
21 - A,Hp,40
21 - A,Atk,60
21 - A,Def,30
21 - A,Sp Atk,31
21 - A,Sp Def,31
21 - A,Spd,70
22 - A,Hp,65
22 - A,Atk,90
22 - A,Def,65
22 - A,Sp Atk,61
22 - A,Sp Def,61
22 - A,Spd,100
23 - A,Hp,35
23 - A,Atk,60
23 - A,Def,44
23 - A,Sp Atk,40
23 - A,Sp Def,54
23 - A,Spd,55
24 - A,Hp,60
24 - A,Atk,95
24 - A,Def,69
24 - A,Sp Atk,65
24 - A,Sp Def,79
24 - A,Spd,80
25 - A,Hp,35
25 - A,Atk,55
25 - A,Def,40
25 - A,Sp Atk,50
25 - A,Sp Def,50
25 - A,Spd,90
26 - A,Hp,60
26 - A,Atk,90
26 - A,Def,55
26 - A,Sp Atk,90
26 - A,Sp Def,80
26 - A,Spd,110
26 - B,Hp,60
26 - B,Atk,85
26 - B,Def,50
26 - B,Sp Atk,95
26 - B,Sp Def,85
26 - B,Spd,110
27 - A,Hp,50
27 - A,Atk,75
27 - A,Def,85
27 - A,Sp Atk,20
27 - A,Sp Def,30
27 - A,Spd,40
27 - B,Hp,50
27 - B,Atk,75
27 - B,Def,90
27 - B,Sp Atk,10
27 - B,Sp Def,35
27 - B,Spd,40
28 - A,Hp,75
28 - A,Atk,100
28 - A,Def,110
28 - A,Sp Atk,45
28 - A,Sp Def,55
28 - A,Spd,65
28 - B,Hp,75
28 - B,Atk,100
28 - B,Def,120
28 - B,Sp Atk,25
28 - B,Sp Def,65
28 - B,Spd,65
29 - A,Hp,55
29 - A,Atk,47
29 - A,Def,52
29 - A,Sp Atk,40
29 - A,Sp Def,40
29 - A,Spd,41
30 - A,Hp,70
30 - A,Atk,62
30 - A,Def,67
30 - A,Sp Atk,55
30 - A,Sp Def,55
30 - A,Spd,56
31 - A,Hp,90
31 - A,Atk,92
31 - A,Def,87
31 - A,Sp Atk,75
31 - A,Sp Def,85
31 - A,Spd,76
32 - A,Hp,46
32 - A,Atk,57
32 - A,Def,40
32 - A,Sp Atk,40
32 - A,Sp Def,40
32 - A,Spd,50
33 - A,Hp,61
33 - A,Atk,72
33 - A,Def,57
33 - A,Sp Atk,55
33 - A,Sp Def,55
33 - A,Spd,65
34 - A,Hp,81
34 - A,Atk,102
34 - A,Def,77
34 - A,Sp Atk,85
34 - A,Sp Def,75
34 - A,Spd,85
35 - A,Hp,70
35 - A,Atk,45
35 - A,Def,48
35 - A,Sp Atk,60
35 - A,Sp Def,65
35 - A,Spd,35
36 - A,Hp,95
36 - A,Atk,70
36 - A,Def,73
36 - A,Sp Atk,95
36 - A,Sp Def,90
36 - A,Spd,60
37 - A,Hp,38
37 - A,Atk,41
37 - A,Def,40
37 - A,Sp Atk,50
37 - A,Sp Def,65
37 - A,Spd,65
37 - B,Hp,38
37 - B,Atk,41
37 - B,Def,40
37 - B,Sp Atk,50
37 - B,Sp Def,65
37 - B,Spd,65
38 - A,Hp,73
38 - A,Atk,76
38 - A,Def,75
38 - A,Sp Atk,81
38 - A,Sp Def,100
38 - A,Spd,100
38 - B,Hp,73
38 - B,Atk,67
38 - B,Def,75
38 - B,Sp Atk,81
38 - B,Sp Def,100
38 - B,Spd,109
39 - A,Hp,115
39 - A,Atk,45
39 - A,Def,20
39 - A,Sp Atk,45
39 - A,Sp Def,25
39 - A,Spd,20
40 - A,Hp,140
40 - A,Atk,70
40 - A,Def,45
40 - A,Sp Atk,85
40 - A,Sp Def,50
40 - A,Spd,45
41 - A,Hp,40
41 - A,Atk,45
41 - A,Def,35
41 - A,Sp Atk,30
41 - A,Sp Def,40
41 - A,Spd,55
42 - A,Hp,75
42 - A,Atk,80
42 - A,Def,70
42 - A,Sp Atk,65
42 - A,Sp Def,75
42 - A,Spd,90
43 - A,Hp,45
43 - A,Atk,50
43 - A,Def,55
43 - A,Sp Atk,75
43 - A,Sp Def,65
43 - A,Spd,30
44 - A,Hp,60
44 - A,Atk,65
44 - A,Def,70
44 - A,Sp Atk,85
44 - A,Sp Def,75
44 - A,Spd,40
45 - A,Hp,75
45 - A,Atk,80
45 - A,Def,85
45 - A,Sp Atk,110
45 - A,Sp Def,90
45 - A,Spd,50
46 - A,Hp,35
46 - A,Atk,70
46 - A,Def,55
46 - A,Sp Atk,45
46 - A,Sp Def,55
46 - A,Spd,25
47 - A,Hp,60
47 - A,Atk,95
47 - A,Def,80
47 - A,Sp Atk,60
47 - A,Sp Def,80
47 - A,Spd,30
48 - A,Hp,60
48 - A,Atk,55
48 - A,Def,50
48 - A,Sp Atk,40
48 - A,Sp Def,55
48 - A,Spd,45
49 - A,Hp,70
49 - A,Atk,65
49 - A,Def,60
49 - A,Sp Atk,90
49 - A,Sp Def,75
49 - A,Spd,90
50 - A,Hp,10
50 - A,Atk,55
50 - A,Def,25
50 - A,Sp Atk,35
50 - A,Sp Def,45
50 - A,Spd,95
50 - B,Hp,10
50 - B,Atk,55
50 - B,Def,30
50 - B,Sp Atk,35
50 - B,Sp Def,45
50 - B,Spd,90
51 - A,Hp,35
51 - A,Atk,100
51 - A,Def,50
51 - A,Sp Atk,50
51 - A,Sp Def,70
51 - A,Spd,120
51 - B,Hp,35
51 - B,Atk,100
51 - B,Def,60
51 - B,Sp Atk,50
51 - B,Sp Def,70
51 - B,Spd,110
52 - A,Hp,40
52 - A,Atk,45
52 - A,Def,35
52 - A,Sp Atk,40
52 - A,Sp Def,40
52 - A,Spd,90
52 - B,Hp,40
52 - B,Atk,35
52 - B,Def,35
52 - B,Sp Atk,50
52 - B,Sp Def,40
52 - B,Spd,90
52 - C,Hp,50
52 - C,Atk,65
52 - C,Def,55
52 - C,Sp Atk,40
52 - C,Sp Def,40
52 - C,Spd,40
53 - A,Hp,65
53 - A,Atk,70
53 - A,Def,60
53 - A,Sp Atk,65
53 - A,Sp Def,65
53 - A,Spd,115
53 - B,Hp,65
53 - B,Atk,60
53 - B,Def,60
53 - B,Sp Atk,75
53 - B,Sp Def,65
53 - B,Spd,115
54 - A,Hp,50
54 - A,Atk,52
54 - A,Def,48
54 - A,Sp Atk,65
54 - A,Sp Def,50
54 - A,Spd,55
55 - A,Hp,80
55 - A,Atk,82
55 - A,Def,78
55 - A,Sp Atk,95
55 - A,Sp Def,80
55 - A,Spd,85
56 - A,Hp,40
56 - A,Atk,80
56 - A,Def,35
56 - A,Sp Atk,35
56 - A,Sp Def,45
56 - A,Spd,70
57 - A,Hp,65
57 - A,Atk,105
57 - A,Def,60
57 - A,Sp Atk,60
57 - A,Sp Def,70
57 - A,Spd,95
58 - A,Hp,55
58 - A,Atk,70
58 - A,Def,45
58 - A,Sp Atk,70
58 - A,Sp Def,50
58 - A,Spd,60
58 - B,Hp,60
58 - B,Atk,75
58 - B,Def,45
58 - B,Sp Atk,65
58 - B,Sp Def,50
58 - B,Spd,55
59 - A,Hp,90
59 - A,Atk,110
59 - A,Def,80
59 - A,Sp Atk,100
59 - A,Sp Def,80
59 - A,Spd,95
59 - B,Hp,95
59 - B,Atk,115
59 - B,Def,80
59 - B,Sp Atk,95
59 - B,Sp Def,80
59 - B,Spd,90
60 - A,Hp,40
60 - A,Atk,50
60 - A,Def,40
